	CGM_0	CGM_1	CGM_2	CGM_3
30b0aa88-4e4f-4c03-8d48-6346abb93415	1.8314579598976226	3.4561918137581658	4.452989080097727	2.9363568142529877
21992c62-7349-47f8-91d0-3e55f2f8deda	1.7914213901211518	3.9658839338898164	4.871981858959091	3.565410059998204
b36498b1-cabf-45fb-965d-ef191b77a5a2	4.06425902715879	2.5536083654156863	2.215851898446962	1.0410670951392955
bbc327c9-88f7-4f7c-b874-814496fefb38	3.1670860915979153	1.9261634524202094	3.1270452002697886	4.798884822098952
5d248c5c-e008-4510-bdef-2417b97c864c	3.630023347766338	1.0492293485612185	2.2843880446472613	1.913582621360545
1de8df86-f564-44c1-91ad-a58df8004911	3.9668665002520234	2.2871867990105867	1.9047736555418988	2.616096513366036
79cbd304-58ee-450b-ba8b-7f0a41e5d298	1.6368507153019456	2.896935690091264	3.285193649793081	4.0113810428801955
e138614d-91b9-4a50-8859-97bc23d41d6c	1.4777251037025732	1.9015808611921365	4.449402007601092	2.313971613672039
65ddebff-ab5c-4d45-967b-74f211274363	2.485950209371096	2.689587199562556	3.536135613592945	4.086841032535567
c31ed820-660d-4266-8b67-7a0228f2df77	3.5629903922198154	2.90901464100188	1.8005941572477555	1.100876321574835
0b4e6a1c-99aa-45e3-a343-c16c26923d40	3.297288110248983	2.0618817164669543	2.719874995634466	1.808340952174032
cc0a4389-50a5-46e1-a793-565121b1f631	3.425943315619177	2.6801538529332634	2.801989092446209	2.0795337589637857
400d229e-aa12-4276-ba02-682e26bd3ebc	3.636561218507558	2.001490776817761	2.288037491224798	1.808369113332805
10587870-10fd-408b-bf8f-f97bbf668952	3.1248054119789352	4.44124993959027	2.3653700555024564	1.5532415899357415
1272d054-b190-487f-83d5-77a8cfda9c0c	3.9368792174136726	1.7782632469686903	1.9825606353659753	2.68716085124086
6d492b0e-8e87-43d7-b9cb-7a57eca9494f	2.458779135193989	4.157516955662965	4.122765095088213	4.691260157112923
1abd183c-a740-42d6-b913-7c41a794a3a8	0.795977310241261	1.6147641224430758	3.841664048568237	2.5551001661479966
e33cec2a-d24a-4fef-b5c6-dba7123a6005	4.286074388143977	1.811880753328983	2.9857044119507115	3.364818696352958
6e051237-5800-4b19-b95c-ed8409c5b6a0	3.136631485846223	3.177170293596754	2.9074192238437755	4.132403866085348
b483de59-dbd3-4fab-924f-2879bafff19b	3.939917323578281	1.8088790213458443	2.8807626958536035	2.6054940223524006
98602ec7-f83c-49c7-a233-1376d3c87f6e	3.476124989786845	2.058696315982242	1.9595268551637175	2.145779227682443
6e8f03bd-2f61-4afc-b104-b4a512cb3a10	3.1432879463562458	1.4973720002870234	2.8049561481930767	2.9030547260009167
677f2370-e186-4842-b410-345a07c0fdad	3.677985437309226	3.428663428357357	2.8682504121834294	2.601968237399067
fc7c869c-a5ac-45af-a397-4c6709cbc271	3.2586927894085256	1.7959985713126219	2.5008995380034236	2.8282380143210055
0ae9c185-e126-4848-bf85-65cd2bd7f1b2	3.7210927345283555	2.899850776837667	2.486270600636779	1.6520415433400188
ab30d269-4c07-40c8-81d0-3212a8e94b22	1.209330337881449	2.7408975767455774	5.048986889946276	3.837572864203391
