source	signature	M	K	n	k	p	overlap_genes	fdr	module
xCell	Smooth muscle_FANTOM_1	1200	168	12	9	2.5662502391929455e-06	ASPN|DPT|ELN|EMILIN1|HSPB6|HSPB7|ISLR|LGALS1|LMOD1	1.5140876411238379e-05	3
xCell	Chondrocytes_ENCODE_3	1200	168	8	7	6.668471912819922e-06	CILP|COL10A1|COMP|HSPB7|ISLR|LRRC15|PRELP	3.5767258441488674e-05	3
xCell	Smooth muscle_FANTOM_3	1200	168	9	7	2.6469563731732122e-05	ASPN|DPT|EMILIN1|HSPB6|HSPB7|ISLR|LGALS1	0.00013014202168101625	3
xCell	Fibroblasts_ENCODE_3	1200	168	7	6	4.309270254267076e-05	ASPN|DPT|ELN|HSPB6|ISLR|LMOD1	0.00017724832761077127	3
xCell	Fibroblasts_ENCODE_2	1200	168	5	5	5.107155202344257e-05	ASPN|DPT|ELN|HSPB7|LGALS1	0.00017724832761077127	3
xCell	Fibroblasts_FANTOM_1	1200	168	5	5	5.107155202344257e-05	ASPN|C7|DPT|EMILIN1|ISLR	0.00017724832761077127	3
xCell	Fibroblasts_FANTOM_3	1200	168	5	5	5.107155202344257e-05	ASPN|C7|DPT|EMILIN1|ISLR	0.00017724832761077127	3
xCell	Fibroblasts_HPCA_3	1200	168	5	5	5.107155202344257e-05	ASPN|C7|DPT|EMILIN1|ISLR	0.00017724832761077127	3
xCell	Astrocytes_ENCODE_3	1200	168	5	4	0.0016579569693463915	ADAM12|CNN1|COL11A1|TNC	0.0054344145106353945	3
xCell	Astrocytes_ENCODE_1	1200	168	9	5	0.0039806027249045224	ADAM12|CNN1|COL11A1|RBP1|TNC	0.012360818987861412	3
xCell	Astrocytes_ENCODE_2	1200	168	6	4	0.004430674735471852	ADAM12|CNN1|COL11A1|TNC	0.012448086161563773	3
xCell	Smooth muscle_HPCA_3	1200	168	6	4	0.004430674735471852	EMILIN1|LGALS1|LMOD1|LRRC15	0.012448086161563773	3
xCell	Mast cells_FANTOM_3	1200	168	5	3	0.021739155336133794	CPA3|CTSG|TPSAB1	0.05130440659327576	3
xCell	Mast cells_FANTOM_2	1200	168	5	3	0.021739155336133794	CPA3|CTSG|TPSAB1	0.05130440659327576	3
xCell	Mast cells_FANTOM_1	1200	168	5	3	0.021739155336133794	CPA3|CTSG|TPSAB1	0.05130440659327576	3
xCell	Preadipocytes_ENCODE_3	1200	168	5	3	0.021739155336133794	ISLR|LMOD1|LRRC15	0.05130440659327576	3
xCell	CMP_HPCA_1	1200	168	7	3	0.06142254364795294	CPA3|CTSG|MYH11	0.13938192597035476	3
xCell	Skeletal muscle_FANTOM_1	1200	168	5	2	0.14633936206981465	DES|HSPB7	0.30835794150425233	3
xCell	Skeletal muscle_FANTOM_3	1200	168	5	2	0.14633936206981465	DES|HSPB7	0.30835794150425233	3
xCell	Macrophages M1_FANTOM_1	1200	168	12	3	0.229668587616645	EMILIN1|HSPB7|MYH11	0.4662841981900635	3
xCell	Neurons_ENCODE_2	1200	168	18	4	0.23709366009664246	CXCL12|GEM|PDLIM3|SFRP4	0.4662841981900635	3
xCell	Hepatocytes_FANTOM_3	1200	168	30	5	0.41301892575975774	ANPEP|C1S|MYLK|NNMT|RARRES2	0.7860682780588938	3
xCell	pro B-cells_HPCA_2	1200	168	11	2	0.4695395586812795	CTSG|HSPB6	0.8657135613186091	3
xCell	Hepatocytes_FANTOM_2	1200	168	34	5	0.5287482498651422	ANPEP|C1S|MYLK|NNMT|RARRES2	0.8937867082939494	3
xCell	Hepatocytes_FANTOM_1	1200	168	34	5	0.5287482498651422	ANPEP|C1S|MYLK|NNMT|RARRES2	0.8937867082939494	3
xCell	Erythrocytes_NOVERSHTERN_3	1200	168	5	1	0.5302124540726818	DES	0.8937867082939494	3
xCell	MPP_FANTOM_3	1200	168	6	1	0.596257899859953	CPA3	0.9202914520863293	3
xCell	Macrophages_HPCA_2	1200	168	7	1	0.653065833548	EMILIN1	0.9202914520863293	3
xCell	Macrophages_HPCA_3	1200	168	7	1	0.653065833548	EMILIN1	0.9202914520863293	3
xCell	Memory B-cells_BLUEPRINT_1	1200	168	7	1	0.653065833548	CASQ2	0.9202914520863293	3
xCell	MPP_FANTOM_1	1200	168	8	1	0.701921608874015	CPA3	0.9202914520863293	3
xCell	Macrophages_HPCA_1	1200	168	8	1	0.701921608874015	EMILIN1	0.9202914520863293	3
xCell	MPP_FANTOM_2	1200	168	9	1	0.7439326572877445	CPA3	0.9202914520863293	3
xCell	Tgd cells_HPCA_2	1200	168	9	1	0.7439326572877445	GPR68	0.9202914520863293	3
xCell	Tgd cells_HPCA_1	1200	168	9	1	0.7439326572877445	GPR68	0.9202914520863293	3
xCell	Macrophages M1_FANTOM_3	1200	168	19	2	0.7692647905569846	EMILIN1|HSPB7	0.9202914520863293	3
xCell	Neurons_FANTOM_2	1200	168	19	2	0.7692647905569846	HOPX|PCP4	0.9202914520863293	3
xCell	Neurons_FANTOM_3	1200	168	19	2	0.7692647905569846	HOPX|PCP4	0.9202914520863293	3
xCell	Tgd cells_HPCA_3	1200	168	10	1	0.7800529877458965	GPR68	0.9202914520863293	3
xCell	Macrophages M1_FANTOM_2	1200	168	20	2	0.7940261257582457	EMILIN1|HSPB7	0.9202914520863293	3
xCell	CD8+ Tem_HPCA_1	1200	168	11	1	0.8111043306523581	GPR68	0.9202914520863293	3
xCell	Basophils_FANTOM_2	1200	168	11	1	0.8111043306523581	CCL21	0.9202914520863293	3
xCell	Neurons_ENCODE_3	1200	168	11	1	0.8111043306523581	GEM	0.9202914520863293	3
xCell	CD8+ Tem_HPCA_2	1200	168	13	1	0.8607325512115682	GPR68	0.9404300096570838	3
xCell	Neurons_FANTOM_1	1200	168	13	1	0.8607325512115682	PCP4	0.9404300096570838	3
xCell	Melanocytes_FANTOM_3	1200	168	37	3	0.9104100339879379	APOD|CTSK|PDK4	0.9766216728234243	3
xCell	Sebocytes_FANTOM_2	1200	168	22	1	0.9649104368400944	CTSK	0.9860905007288664	3
xCell	Sebocytes_FANTOM_1	1200	168	25	1	0.9778933997170102	CTSK	0.9860905007288664	3
xCell	Sebocytes_FANTOM_3	1200	168	28	1	0.9860905007288664	CTSK	0.9860905007288664	3
xCell	Hepatocytes_HPCA_1	1200	168	28	1	0.9860905007288664	SERPINF1	0.9860905007288664	3
BostonGene	CAF	1200	168	13	11	1.8288518797111956e-08	ACTA2|COL1A1|COL1A2|COL5A1|COL6A1|COL6A2|COL6A3|CXCL12|LUM|MFAP5|MMP2	9.144259398555979e-08	3
BostonGene	Matrix	1200	168	12	8	3.80128191237219e-05	COL11A1|COL1A1|COL1A2|COL3A1|COL5A1|ELN|FN1|TNC	9.503204780930475e-05	3
BostonGene	Matrix_remodeling	1200	168	9	3	0.11942305272189571	LOX|MMP11|MMP2	0.1990384212031595	3
BostonGene	Granulocyte_traffic	1200	168	5	1	0.5302124540726818	CCL11	0.596257899859953	3
BostonGene	MDSC_traffic	1200	168	6	1	0.596257899859953	CXCL12	0.596257899859953	3
